,accuracy,precision,recall,f1_score
Naive Bayes,0.804416403785489,0.8125706870103351,0.804416403785489,0.7973226251437155
SVM,0.8107255520504731,0.8092992734201434,0.8107255520504731,0.8096138221374539
Logistic Regression,0.8138801261829653,0.8169427010121015,0.8138801261829653,0.8076129631498219
Random Forest,0.7886435331230284,0.7925389542108785,0.7886435331230284,0.7857552071192886
