,accuracy,precision,recall,f1_score
Naive Bayes,0.8929424273587702,0.8891505840485956,0.8929424273587702,0.8905783468518393
SVM,0.9197329661327152,0.9165214096142406,0.9197329661327152,0.9162206026232362
Logistic Regression,0.9202384479963744,0.9170832163486737,0.9202384479963744,0.9171096801711583
Random Forest,0.9087169475867599,0.904660383505207,0.9087169475867599,0.9025933316739717
